title;author;format;categories;cover_url;description;slug
Die Welt braucht dich. Genau so, wie du bist;Joanna Gaines;Buch, E-Book;Selbstbewusstsein & Selbstliebe;https://images.thalia.media/00/-/b64e888e6f1a40839dc15ffe722fa25e/die-welt-braucht-dich-genau-so-wie-du-bist-gebundene-ausgabe-joanna-gaines.jpeg;Jedes Kind in einer bunt gemischten Gruppe bastelt einen eigenen Heißluftballon. Alle arbeiten zwar zusammen, doch jeder mit seinen eigenen Talenten und Fähigkeiten. Am Ende gleicht kein Ballon dem anderen, so wie kein Kind dem anderen gleicht. Denn jeder darf sich genau so einbringen, wie er oder sie ist. Die aufsteigenden Ballons lassen den Himmel bunt erstrahlen und zeigen, wie viel schöner das Leben in all seiner Vielfalt ist.;dieweltbrauchtdichgenausowiedubist
Als Mama nur noch traurig war;Anja Möbest;Buch;Psychische Gesundheit, Emotionale Intelligenz & Empathie;https://images.thalia.media/00/-/81dfd58dee2f4958bdd7d5c3712b6316/als-mama-nur-noch-traurig-war-gebundene-ausgabe-anja-moebest.jpeg;Jan ist fünf Jahre alt, als die Grummelgrame kommen. Mamas Grummelgrame. Sie sind furchtbar mies gelaunt. Alles finden sie schlecht, und sie reden so lange auf Mama ein, bis die ihnen glaubt. Ganz grau ist ihre Welt dadurch geworden. Sie lacht kaum noch, mag nichts mehr unternehmen und alles wird ihr zu viel – selbst Jan! Jan ist ganz elend deswegen. Er fühlt sich allein und furchtbar hilflos: Ist er womöglich schuld daran, dass es Mama so schlecht geht …? ;alsmamanurnochtraurigwar
Kishon's schönste Geschichten für Jung und Alt;Ephraim Kishon;Buch, Braille, E-Book;Freundschaft & Familie, Gemeinschaft;https://images.thalia.media/00/-/347ec57a1ede47db9bd2b01353dec426/kishons-schoenste-geschichten-fuer-jung-und-alt-gebundene-ausgabe-ephraim-kishon.jpeg;"Zeitlos, aktuell und immer lustig: Die unverwechselbaren Geschichten des großen Satirikers Ephraim Kishon! „Wie man Pyjama-Fische züchtet“, „Warum Suppen heiß sein müssen“, „Wie Kaffeetassen für Linkshänder aussehen sollten“, „Was Herkules mit den sieben Kätzchen anstellt“, „Was passiert, wenn ein Hund einfach nicht still sein will“: Das Kishon-Vorlesebuch mit vielen Geschichten aus dem Alltag, die zum Nachdenken und Lachen anregen. Die bearbeitete Neuauflage des Erzählbands „Wenn das Auto Schnupfen hat“ erscheint anlässlich des 100. Geburtstags des Autors. Für Groß und Klein ein riesiger (Vor-)Lesespaß.";kishonsschoenstegeschichtenfuerjungundalt
Pembo – Halb und halb macht doppelt glücklich!;Ayse Bosse;Buch, E-Book, Hörbuch;Vielfalt & Diversität, Freundschaft & Familie, Gemeinschaft;https://images.thalia.media/00/-/e5a6dd653a1f4886a22e2a431252494f/pembo-halb-und-halb-macht-doppelt-gluecklich-gebundene-ausgabe-ayse-bosse.jpeg;Eines Tages muss das Mädchen Pembo mit ihrer Familie ihre Heimat verlassen und nach Deutschland umziehen. Pembo will aber nicht. Sie liebt die Sonne, das Meer und die Freunde in ihrer türkischen Heimat. Angekommen in Deutschland ist ihr dort zunächst alles grau und fremd. Sie kennt niemanden. Sie fühlt sich zerrissen zwischen Hier und Dort. Und auch das neue Geschäft von Papa Mustafa bleibt zunächst ein Flop. Aber dann entdeckt Pembo, wieviel Kraft und wieviel Herz sie hat, um auf das Neue zuzugehen - und aus Halb und Halb ein rundes, glückliches Leben zu machen.;pembohalbundhalbmachtdoppeltgluecklich
Ein Mädchen wie du;Frank Murphy;Buch;Selbstbewusstsein & Selbstliebe, Gleichberechtigung & Rollenbilder;https://images.thalia.media/00/-/ee9c52489d594ce1bf0ed33536399f13/ein-maedchen-wie-du-gebundene-ausgabe-frank-murphy.jpeg;Es gibt Milliarden Menschen auf der Welt. Aber dich gibt es nur einmal! Und die Welt braucht ein Mädchen wie dich. Eines, das stark, mutig und mitfühlend ist. Vielleicht bedeutet „mutig“ für dich, als Klassensprecherin zu kandidieren. Vielleicht bedeutet „kühn“ für dich, für dich selbst einzutreten. Egal, was es ist, sei einfach du selbst!;einmaedchenwiedu
Baby Animals: Kontrastbuch für Babys mit Öffnungen;Agnieszka Sawczyn;Buch;Frühförderung & Babythemen;https://images.thalia.media/00/-/bfee44f363554e03b32c098076f84869/baby-animals-kontrastbuch-fuer-babys-mit-oeffnungen-kontrastreiche-bilder-angepasst-an-babyaugen-schwarz-weiss-buch-fuer-neugeborene-mein-erstes-bi-gebundene-ausgabe-agnieszka-sawczyn.jpeg;Das liebevoll gestaltete Kontrastbuch „Baby Animals“ von BABY EYE aus der Buchreihe „BABY EYE Circles“ (Bücher für Babys mit Öffnungen: „Baby Animals“, „Baby Cars“, „Baby Fruits“) wurde speziell für die Kleinsten entwickelt und eignet sich für Babys ab dem 1. Lebensmonat oder sogar ab der Geburt. Wenige wissen, dass Babys eine andere Sichtweise als Erwachsene haben. Laut Forschung sehen Neugeborene etwa 30 Mal weniger scharf als Erwachsene und benötigen 1 bis 2 Jahre, um ihre Sicht zu entwickeln. Deshalb bevorzugen Babys Schwarz-Weiß und lebendige Primärfarben. „Baby Animals“ enthält kontrastreiche Illustrationen ausschließlich in Schwarz-Weiß.;babyanimalskontrastbuchfuerbabysmitoeffnungen
Wieso? Weshalb? Warum? junior, Band 57 - Tiere im Meer;Anita van Saan;Buch;Leseförderung & Bildung, Tiere;https://images.thalia.media/00/-/c4757b9118ae45229f99f4237793f8c5/wieso-weshalb-warum-junior-band-57-tiere-im-meer-spiralbindung-anita-van-saan.jpeg;Abtauchen in Unterwasserwelten und Tiere hautnah entdeckenDie Ozeane bergen viele Geheimnisse, die Kinder hier endlich lüften können. In diesem Buch entdecken sie die Vielfalt der Tierwelt unter Wasser in ihrer schönsten Farbenpracht. Anhand von eindrucksvollen Klappen erfahren sie, wie sich Meeresbewohner fortbewegen und tarnen. ;wiesoweshalbwarumjuniorband57tiereimmeer
Vom Fuchs, der ein Reh sein wollte;Kirsten Boie;Buch, E-Book, Hörbuch;Vielfalt & Diversität, Selbstbewusstsein & Selbstliebe;https://images.thalia.media/00/-/d198d33f67a3491b9c056c58d4f1142c/vom-fuchs-der-ein-reh-sein-wollte-gebundene-ausgabe-kirsten-boie.jpeg;"In ""Vom Fuchs, der ein Reh sein wollte"" von Kirsten Boie wird die berührende Geschichte von Blau-Auge, einem jungen Fuchs, erzählt, der nach einem großen Waldbrand seine Familie verliert und von Mama Reh und ihren Kindern am Rande des Waldes gefunden wird. Trotz der tiefen Trauer über den Verlust seiner Familie gibt sich Blau-Auge alle Mühe, in seiner neuen Familie ein gutes Reh zu sein. Die Geschichte nimmt eine dramatische Wendung, als erst eine kleine Maus und dann das Rehkitz Vielpunkt verschwinden. Schnell fällt der Verdacht auf Blau-Auge, denn die anderen Waldtiere können nicht glauben, dass ein Fuchs seine Natur ändern kann. Doch Blau-Auge lässt sich nicht entmutigen und beweist durch seine Taten, dass er ein wahrer Freund ist, auf den man sich verlassen kann, und lehrt damit eine Lektion über Freundschaft, Vertrauen und die Überwindung von Vorurteilen.";vomfuchsdereinrehseinwollte
Die Eule mit der Beule;Susanne Weber;Buch;Emotionale Intelligenz & Empathie, Selbstbewusstsein & Selbstliebe;https://images.thalia.media/00/-/eafbe26801294ae5b9766eb3f050bbbe/die-eule-mit-der-beule-gebundene-ausgabe-susanne-weber.jpeg;Aua, die Eule hat eine Beule! Die Freunde möchten natürlich helfen, und so pustet der Fuchs, die Maus bringt ein Pflaster und die Schlange streichelt die Wange. Alles ganz lieb gemeint – aber am Ende hilft doch nichts so sehr wie ein dicker Kuss von Mama Eule! ;dieeulemitderbeule
Flusskind 2: Millilu und der Duft der Farben;Sabine Bohlmann;Buch, E-Book, Hörbuch;Kreativität & Fantasie, Vielfalt & Diversität;https://images.thalia.media/00/-/1a8addfb0f93457385dc33a6345eb6bc/flusskind-2-millilu-und-der-duft-der-farben-cd-sabine-bohlmann.jpeg;Millilus Reise mit ihrem Hausboot geht weiter. In einem Dorf am Ufer des Flusses lernt sie die blinde Marlene kennen. Marlene sitzt den ganzen Tag in ihrem dunklen Zimmer. Denn rausgehen kann sie nicht, sagt ihr Papa. Das sieht Millilu natürlich ganz anders: Kurzerhand nimmt sie Marlene mit sich und beschließt, ihr die Welt zu zeigen, denn eines ist dem Bootsmenschen-Kind klar: »Wenn du willst, kannst du alles. Wenn du willst, kannst du sogar fliegen!«;flusskind2milliluundderduftderfarben
Sonnige Traurigtage;Schirin Homeier;Buch, E-Book;Psychische Gesundheit, Emotionale Intelligenz & Empathie;https://images.thalia.media/00/-/553ec8a5463b4c30a57e5005906af645/sonnige-traurigtage-gebundene-ausgabe-schirin-homeier.jpeg;"In letzter Zeit ist mit Mama etwas anders: Sie ist so kraftlos und niedergeschlagen. Auf diese ""Traurigtage"" reagiert Mona wie viele Kinder psychisch kranker Eltern: Sie unterdrückt Gefühle von Wut oder Traurigkeit, übernimmt immer mehr Verantwortung und sehnt sich nach glücklichen ""Sonnigtagen"". Erst als sich Mona einer Bezugsperson anvertraut, erfährt sie, dass ihre Mutter unter einer psychischen Krankheit leidet und fachkundige Hilfe benötigt. ";sonnigetraurigtage
Sieben Tage Mo;Oliver Scherz;Buch, Hörbuch, Braille;Selbstbewusstsein & Selbstliebe, Gemeinschaft;https://images.thalia.media/00/-/52ab044e397b423398183d203785cc0d/sieben-tage-mo-gebundene-ausgabe-oliver-scherz.jpeg;Karls Bruder Mo ist wild. Er macht, was er will, und sagt, was ihm in den Kopf kommt. Mit ihm kann man Verrücktes erleben. Aber sich um ihn zu kümmern, ist anstrengend. Karl hätte gerne mal Zeit für sich und möchte Fahrrad fahren oder sich mit Nida treffen. Doch als er das tut, verschwindet sein Bruder….;siebentagemo
Wer hat mein Eis gegessen? (Urdu-Deutsch);Rania Zaghir;Buch;Mehrsprachigkeit & Migration;https://images.thalia.media/00/-/353b626ad27e447db639baae7b5767f0/wer-hat-mein-eis-gegessen-urdu-deutsch-geheftet-rania-zaghir.jpeg;Ein Eis ist eine wunderbare Sache. Aber wie esse ich es, ohne mich zu bekleckern? Alle wollen mir zeigen, wie es geht, aber was passiert dabei mit meinem Eis? Eine schwungvolle Geschichte aus dem Libanon zu einer Frage, die alle Kinder beschäftigt …;werhatmeineisgegessenurdudeutsch
Ich bin anders als du / Ich bin wie du (Deutsch-Polnisch);Constanze Kitzing;Buch;Mehrsprachigkeit & Migration, Vielfalt & Diversität;https://images.thalia.media/00/-/27a4d79fd0eb4d3a93c7557f0e29eb6f/ich-bin-anders-als-du-ich-bin-wie-du-deutsch-polnisch-gebundene-ausgabe-constanze-kitzing.jpeg;Verschiedene Kinder, viele Gemeinsamkeiten und Unterschiede – dieses intelligente Wendebuch zeigt auf kindgerechte Weise, was manche Kinder ausmacht, wie sie sich von anderen unterscheiden und was sie mit anderen gemeinsam haben. Die Vermittlung von Verschiedenheiten und Gemeinsamkeiten ist vielfältig. Und immer wird dabei mit Erwartungen und vorschnellen Zuschreibungen gespielt – und manches Umblättern überrascht. In der Mitte des Buches steht schließlich die Erkenntnis: Ich bin ich!;ichbinandersalsduichbinwiedudeutschpolnisch
Supercool;Tanja Esch;Buch;Coolness, Selbstbewusstsein & Selbstliebe;https://images.thalia.media/00/-/0a5f7d41caf44a1b97af719313370bc0/supercool-taschenbuch-tanja-esch.jpeg;Eine Grundschulgeschichte, ​bei der es um Coolness, Ausgrenzung und Freundschaften geht.​Sie ist zum Teil autobiografisch mit Erlebnissen aus Tanja Eschs Kindheit, die ihr noch heute so präsent sind, dass sie wohl prägend gewesen sein müssen. So bekam sie auch Lust, Kindern davon zu erzählen. Und zwar so, dass es Kindern sowie Erwachsenen nahegeht... die Geschichte ist so humorvoll wie die Zeichnungen selbst, sie liest sich flüssig und spannend und belehrt nicht. Einen Konflikt muss es aber dennoch geben, so ist das echte Leben nunmal, aber ein Happy End ist gut und macht, dass wir alle besser schlafen können.;supercool
Wie ist das mit dem Ärgern?;Dagmar Geisler;Buch, E-Book;Emotionale Intelligenz & Empathie, Gerechtigkeit & Konfliktlösung;https://images.thalia.media/00/-/24281d02b21246f386561a372a4ad92a/wie-ist-das-mit-dem-aergern-starke-kinder-glueckliche-eltern-gebundene-ausgabe-dagmar-geisler.jpeg;Hast du dich auch schon mal geärgert? Wenn etwas nicht klappt, eine tolle Verabredung ausfällt oder du etwas Wichtiges vergessen hast? Doch am schlimmsten ist es, wenn man geärgert wird. Das kann total ungerecht sein und tut weh. Es ist nicht so leicht, darüber zu sprechen, doch zum Glück ist niemand mit seinen Sorgen allein.;wieistdasmitdemaergern
Hier sind wir;Oliver Jeffers;Buch;Inklusion & Behinderung, Vielfalt & Diversität, Gemeinschaft;https://images.thalia.media/00/-/d47c37b5c6fa475abbb5f3e5f749bb8d/hier-sind-wir-gebundene-ausgabe-oliver-jeffers.jpeg;Wie erkläre ich einem Kind die Welt in ihrer ganzen Vielfalt? Dass es Berge und Seen gibt, aber auch Wüste? Dass kein Mensch wie der andere ist, und dass wir doch alle die gleichen Bedürfnisse haben. Oliver Jeffers macht seinem Sohn mit wenigen, präzis gewählten Worten und eindrücklichen Bildern die Welt begreifbar. Denn letztlich ist unser Fortbestehen in unserer Verantwortung. »Achte gut auf die Erde, denn es ist die einzige, die wir haben.«;hiersindwir
Der Krokodildieb;Taran Bjørnstad;Buch, E-Book;Gerechtigkeit & Konfliktlösung, Kreativität & Fantasie;https://images.thalia.media/00/-/4bb42d9f55c540b89b9869b40afdc752/der-krokodildieb-taschenbuch-taran-bj-rnstad.jpeg;Den Schulausflug ins Aquarium findet der schüchterne Odd ein bisschen gruselig. Er könnte von einem Hai gebissen oder von einer Schlange erwürgt werden! Doch dann trifft er den coolen, tätowierten Tierpfleger Rolf, der Würgeschlangen und Krokodile wie Kumpel behandelt. Da ist Odd klar: Er braucht ein Krokodil zum Freund. Es könnte den Sportlehrer in den Hintern beißen und zusammen würden sie es allen zeigen. Keiner aus seiner Klasse würde ihn mehr mobben. Also schmuggelt er kurzerhand einen Zwergkaiman mit nach Hause …;derkrokodildieb
Vier Wünsche ans Universum;Erin Entrada Kelly;Buch, Hörbuch;Selbstbewusstsein & Selbstliebe, Kreativität & Fantasie;https://images.thalia.media/00/-/c74ac157c0c740318dfe95802f5595b3/vier-wuensche-ans-universum-taschenbuch-erin-entrada-kelly.jpeg;VIRGIL ist schüchtern und fühlt sich in seiner lauten Familie komplett fehl am Platz. VALENCIA ist taub, intelligent und schrecklich einsam. KAORI ist eine Lebensberaterin mit hellseherischen Fähigkeiten und ihrer kleinen Schwester GEN im Schlepptau. Und da ist CHET, eine wahre Plage für die anderen Kinder. Nein, Freunde sind sie nicht, zumindest nicht bis zu dem Tag, als CHET VIRGIL und sein Meerschweinchen GULLIVER angreift und die beiden in einem alten Brunnen feststecken. Was für ein Unglück! Oder was für ein Glück! Denn das führt zu einer beispiellosen Suchaktion von VALENCIA, KAORI und GEN. Mit Glück, Köpfchen und Mut – und einer kleinen Hilfe vom Universum natürlich – werden ein Junge gerettet, ein Bully in seine Schranken gewiesen und Freundschaften geschmiedet.;vierwuenscheansuniversum
Weil du bist, wie du bist. Eine Geschichte über Selbstvertrauen;Kashi Grobe;Buch;Selbstbewusstsein & Selbstliebe;https://images.thalia.media/00/-/8d332e9e2386421c9ebe09aff6e82939/weil-du-bist-wie-du-bist-eine-geschichte-ueber-selbstvertrauen-gebundene-ausgabe-kashi-grobe.jpeg;Der Regen hat aufgehört. Aber Emma will ihren neuen gelben Regenumhang trotzdem tragen – überall. Weder spöttische Blicke noch schnippische Bemerkungen können sie dazu bewegen, ihn auszuziehen. Eine ganze Woche lang! Nachmittags auf dem Spielplatz gucken die Eltern der anderen Kinder komisch, sogar der nette Erdbeerverkäufer kratzt sich am Kopf. Aber Emma ist vorbereitet. Und als der Regen dann mit aller Macht kommt, perlen die dicken Regentropfen an Emmas gelbem Regenumhang einfach ab. Sie lacht und tanzt, während die anderen Kinder nach Hause eilen.;weildubistwiedubisteinegeschichteueberselbstvertrauen
Einfach Bibel - Die Bibel für junge Menschen;;Buch;Religion & Glaube, Leseförderung & Bildung;https://images.thalia.media/00/-/77f83a91cc9a4272b6ba3f0c812cf31b/einfach-bibel-die-bibel-fuer-junge-menschen-gebundene-ausgabe.jpeg;Inklusion trifft Bibel: 180 Bibelgeschichten so aufbereitet, dass sie in Jugendgruppen mit Inklusionsbedarf in Schule und Kirche eingesetzt werden können.;einfachbibeldiebibelfuerjungemenschen
Das alles sind WIR;Michael Engler;Buch;Vielfalt & Diversität, Gemeinschaft;https://images.thalia.media/-/BF2000-2000/f3fe44aed50a450cb640cd74376d4661/das-alles-sind-wir-gebundene-ausgabe-michael-engler.jpeg;"Lars und Lina sind die besten Freunde! Da ist es nicht leicht, als ihre Lehrerin sie am zweiten Schultag nicht nebeneinander setzt. Lauter neue Kinder ... Doch dann gibt es eine Kennenlernstunde, in der alle etwas über sich erzählen: Fela zum Beispiel hat eine neue kleine Schwester und sein Papa hat sich Elternzeit genommen. Anna hat eine Brille, die genauso toll aussieht wie Lars’ Brille. Sie will später Pilotin werden. Und mit Eleftheria kann Lars Fußball spielen! Jetzt fühlt er sich schon gar nicht mehr so fremd. Linas Schulstart hingegen war alles andere als schön: Annabelle hat etwas Gemeines zu ihr gesagt. Und »Wörter tun manchmal so weh wie Schläge.« Das kann Lars nicht glauben! ""Es ist unsere Schule! Die ist für uns alle. Egal, wie man aussieht! Egal, was man anhat! Egal, was man denkt! Egal, was man gerne mag!"" Und am Ende gehören doch alle zusammen!";dasallessindwir
Wir sind (die) Weltklasse;Tanya Lieske;Buch, Hörbuch;Freundschaft & Familie, Gemeinschaft;https://images.thalia.media/00/-/3da360d8917844e0a2f5ac4047fefffc/wir-sind-die-weltklasse-gebundene-ausgabe-tanya-lieske.jpeg;In dieser kunterbunten Klasse ist immer was los! Adam kommt in eine neue Schule, denn seine Eltern sind von Polen nach Deutschland gezogen. Zum Glück findet er schnell Anschluss, schließlich ist jeder von irgendwoher. Oder wie Frau Meister, die Klassenlehrerin, sagt: „Mit uns kann man eine Weltreise machen. Auch ohne dass man vor die Tür geht.“ Ob turbulenter Museumsausflug, Schulfest mit Mäusealarm oder gruselige Übernachtungsparty – langweilig wird es Adam, Mariam, Yanis und ihren Freunden nie. Und Frau Meister hat sowieso immer die besten Ideen. Zum Beispiel einen Stegosaurier zu bauen. Doch das ist gar nicht so einfach, schließlich ist so ein Dino riesig ... Eine Sache ist jedenfalls glasklar: Egal was passiert, diese Klasse hält immer zusammen.;wirsinddieweltklasse
